base_name,transcript_chars,qa_chars
2020-03-02_Virtual Town Hall 0,41166,121461
2020-03-06_Virtual Town Hall 00,43349,135086
2020-03-25_Virtual Town Hall 1,39324,87682
2020-04-01_Virtual Town Hall 2,51376,140697
2020-04-08_Virtual Town Hall 3,45803,129573
2020-04-15_Virtual Town Hall 4,40744,124787
2020-04-22_Virtual Town Hall 5,43257,132530
2020-04-29_Virtual Town Hall 6,40171,143805
2020-05-06_Virtual Town Hall 7,44509,134631
2020-05-13_Virtual Town Hall 8,44018,144016
2020-05-20_Virtual Town Hall 9,44793,128575
2020-05-27_Virtual Town Hall 10,43345,116185
2020-06-03_Virtual Town Hall 11,36302,101032
2020-06-10_Virtual Town Hall 12,50612,152574
2020-06-17_Virtual Town Hall 13,42153,105500
2020-06-24_Virtual Town Hall 14,44903,135924
2020-07-01_Virtual Town Hall 15,40501,133544
2020-07-08_Virtual Town Hall 16,47242,106616
2020-07-15_Virtual Town Hall 17,42286,143519
2020-07-22_Virtual Town Hall 18,43948,153296
2020-07-29_Virtual Town Hall 19,46140,140371
2020-08-05_Virtual Town Hall 20,44458,132107
2020-08-12_Virtual Town Hall 21,33006,95818
2020-08-19_Virtual Town Hall 22,48333,138113
2020-08-26_Virtual Town Hall 23,45248,150643
2020-09-02_Virtual Town Hall 24,43918,126733
2020-09-09_Virtual Town Hall 25,41039,133355
2020-09-16_Virtual Town Hall 26,42144,103193
2020-09-23_Virtual Town Hall 27,42483,127556
2020-09-30_Virtual Town Hall 28,41686,112488
2020-10-07_Virtual Town Hall 29,40771,116619
2020-10-14_Virtual Town Hall 30,46151,139004
2020-10-21_Virtual Town Hall 31,43494,110238
2020-10-28_Virtual Town Hall 32,42855,125338
2020-11-04_Virtual Town Hall 33,34983,75442
2020-11-18_Virtual Town Hall 34,40425,141440
2020-12-02_Virtual Town Hall 35,42252,120761
2020-12-09_Virtual Town Hall 36,42311,148679
2020-12-16_Virtual Town Hall 37,45116,139902
2021-01-06_Virtual Town Hall 38,36407,103548
2021-01-13_Virtual Town Hall 39,39359,120483
2021-01-27_Virtual Town Hall 40,42060,128198
2021-02-03_Virtual Town Hall 41,45129,147872
2021-02-10_Virtual Town Hall 42,36878,124298
2021-02-17_Virtual Town Hall 43,47572,155988
2021-02-24_Virtual Town Hall 44,47972,156130
2021-03-03_Virtual Town Hall 45,42638,80454
2021-03-10_Virtual Town Hall 46,31114,78951
2021-03-17_Virtual Town Hall 47,45004,144809
2021-03-24_Virtual Town Hall 48,41183,153663
2021-03-31_Virtual Town Hall 49,40769,157878
2021-04-07_Virtual Town Hall 50,42886,144515
2021-04-14_Virtual Town Hall 51,36691,125582
2021-04-21_Virtual Town Hall 52,40897,116559
2021-04-28_Virtual Town Hall 53,44395,127850
2021-05-05_Virtual Town Hall 54,38534,125134
2021-05-12_Virtual Town Hall 55,43088,148063
2021-05-19_Virtual Town Hall 56,44045,175260
2021-05-26_Virtual Town Hall 57,43050,8118
2021-06-02_Virtual Town Hall 58,40833,145230
2021-06-09_VIrtual Town Hall 59,42325,87677
2021-06-16_Virtual Town Hall 60,34906,106538
2021-06-23_Virtual Town Hall 61,43543,123073
2021-06-30_Virtual Town Hall 62,37819,129738
2021-07-14_Virtual Town Hall 63,29797,110436
2021-07-28_Virtual Town Hall 64,38052,140256
2021-08-04_Virtual Town Hall 65,26236,88732
2021-08-11_Virtual Town Hall 66,40808,149519
2021-08-18_Virtual Town Hall 67,36709,111339
2021-08-25_Virtual Town Hall 68,42023,153400
2021-09-08_Virtual Town Hall 69,35298,110061
2021-09-22_Virtual Town Hall 70,44009,140522
2021-10-06_Virtual Town Hall 71,42339,121452
2021-10-21_Virtual Town Hall 72,44273,143938
2021-11-17_Virtual Town Hall 73,43126,98400
2021-12-01_Virtual Town Hall 74,41667,118607
2021-12-15_Virtual Town Hall 75,50477,125291
2022-01-12_Virtual Town Hall 76,40328,115904
2022-01-26_Virtual Town Hall 77,46254,144898
2022-02-09_Virtual Town Hall 78,42400,133768
2022-02-23_Virtual Town Hall 79,44806,128648
2022-03-09_Virtual Town Hall 80,44595,151336
2022-03-23_Virtual Town Hall 81,41522,116618
2022-04-06_Virtual Town Hall 82,45993,133642
2022-04-20_Virtual Town Hall 83,42056,122274
2022-05-04_Virtual Town Hall 84,40220,125536
2022-05-18_Virtual Town Hall 85,41239,131570
2022-06-01_Virtual Town Hall 86,39026,123742
2022-06-15_Virtual Town Hall 87,36636,123657
2022-06-29_Virtual Town Hall 88,42418,136368
2022-07-27_Virtual Town Hall 89,32853,100576
2022-08-24_Virtual Town Hall 90,24524,65722
2022-09-28_Virtual Town Hall 93,42075,107702
2022-10-26_Virtual Town Hall 96,40075,113787
2022-11-30_Virtual Town Hall 98,39980,122340
2022-12-14_Virtual Town Hall 99,15303,28510
2023-01-11_Virtual Town Hall 100,32952,103768
2023-02-15_Virtual Town Hall 101,29768,90282
2023-03-22_Virtual Town Hall 102,38929,112779
2023-04-26_Virtual Town Hall 103,40244,105540
