Renamed file_stem,topic,link pdf,link youtube,link slides
2023-04-26_Virtual Town Hall 103,COVID-19,https://www.fda.gov/media/167914/download?attachment,https://youtu.be/NF6t6Rk5YeQ,https://www.fda.gov/media/167915/download?attachment
2023-03-22_Virtual Town Hall 102,COVID-19 and Monkeypox,https://www.fda.gov/media/166605/download?attachment,https://youtu.be/DsKd5harDO4,https://www.fda.gov/media/166606/download?attachment
2023-02-15_Virtual Town Hall 101,COVID-19 and Monkeypox,https://www.fda.gov/media/165573/download?attachment,https://youtu.be/tIoLtx8__Ew,https://www.fda.gov/media/165572/download?attachment
2023-01-11_Virtual Town Hall 100,COVID-19 and Monkeypox,https://www.fda.gov/media/164637/download?attachment,https://youtu.be/JzlxverAjpM,https://www.fda.gov/media/164638/download?attachment
2022-12-14_Virtual Town Hall 99,COVID-19 and Monkeypox,https://www.fda.gov/media/164110/download?attachment,https://youtu.be/AX9iyqOJ0qU,
2022-11-30_Virtual Town Hall 98,COVID-19 and Monkeypox,https://www.fda.gov/media/163860/download?attachment,https://youtu.be/mJNdpZt5OMo,
2022-10-26_Virtual Town Hall 96,COVID-19 and Monkeypox,https://www.fda.gov/media/162887/download?attachment,https://youtu.be/krO1uOKkcZg,
2022-09-28_Virtual Town Hall 93,COVID-19 and Monkeypox,https://www.fda.gov/media/162060/download?attachment,https://youtu.be/R43Hd0KnIhs,https://www.fda.gov/media/162061/download?attachment
2022-08-24_Virtual Town Hall 90,COVID-19,https://www.fda.gov/media/161382/download?attachment,https://youtu.be/CjmdF7mDC4M,
2022-07-27_Virtual Town Hall 89,COVID-19,https://www.fda.gov/media/160670/download?attachment,https://youtu.be/-F6wlrzBLvk,
2022-06-29_Virtual Town Hall 88,COVID-19,https://www.fda.gov/media/159787/download?attachment,https://youtu.be/_Rhgjx4ZX1k,
2022-06-15_Virtual Town Hall 87,COVID-19,https://www.fda.gov/media/159486/download?attachment,https://youtu.be/VQvzMIFgzzs,
2022-06-01_Virtual Town Hall 86,COVID-19,https://www.fda.gov/media/159024/download?attachment,https://youtu.be/G4T_6quIfYg,
2022-05-18_Virtual Town Hall 85,COVID-19,https://www.fda.gov/media/158755/download?attachment,https://youtu.be/UZOPxUDd2K4,
2022-05-04_Virtual Town Hall 84,COVID-19,https://www.fda.gov/media/158336/download?attachment,https://youtu.be/CF73LTLm4vg,
2022-04-20_Virtual Town Hall 83,COVID-19,https://www.fda.gov/media/158032/download?attachment,https://youtu.be/_et0g3tjz74,
2022-04-06_Virtual Town Hall 82,COVID-19,https://www.fda.gov/media/157771/download?attachment,https://youtu.be/TNSjg6dO9wI,
